Позиция;#;Гонщик;None;Машина;Время;км/ч
1;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'10.1747;133.381
2;17;Скотт Маклафлин;None;Ford Mustang GT;1'10.2373;133.262
3;88;Джейми Уинкап;None;Holden Commodore ZB;1'10.2817;133.178
4;6;Кэмерон Уотерс;None;Ford Mustang GT;1'10.3294;133.088
5;99;Антон де Паскуале;None;Holden Commodore ZB;1'10.3687;133.013
6;12;Фабиан Култхард;None;Ford Mustang GT;1'10.4593;132.842
7;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'10.5481;132.675
8;22;Джеймс Кортни;None;Holden Commodore ZB;1'10.5553;132.661
9;14;Тим Слейд;None;Holden Commodore ZB;1'10.7821;132.236
10;5;Ли Холдсуорт;None;Ford Mustang GT;1'10.8043;132.195
11;18;Марк Винтерботтом;None;Holden Commodore ZB;1'10.5789;132.617
12;15;Рик Келли;None;Nissan Altima;1'10.5966;132.584
13;35;Тодд Хазелвуд;None;Holden Commodore ZB;1'10.6162;132.547
14;8;Ник Перкат;None;Holden Commodore ZB;1'10.6299;132.521
15;23;Уилл Дэвисон;None;Ford Mustang GT;1'10.6337;132.514
16;55;Час Мостер;None;Ford Mustang GT;1'10.6367;132.509
17;21;Маколи Джонс;None;Holden Commodore ZB;1'10.6782;132.431
18;7;Андре Хаймгартнер;None;Nissan Altima;1'10.9020;132.013
19;19;Джек ЛеБрок;None;Holden Commodore ZB;1'10.9264;131.967
20;78;Симона де Сильвестро;None;Nissan Altima;1'10.9812;131.865
21;3;Гарри Джекобсон;None;Nissan Altima;1'11.0541;131.730
22;33;Ричи Стэнэвей;None;Holden Commodore ZB;1'11.0615;131.716
23;34;Джеймс Голдинг;None;Holden Commodore ZB;1'11.2179;131.427
24;2;Скотт Пай;None;Holden Commodore ZB;1'12.6224;128.885
