Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;88;Джейми Уинкап;None;Holden Commodore ZB;93;1:57'09.2413;None;None;None;150
2;None;12;Фабиан Култхард;None;Ford Mustang GT;93;1:57'11.3659;2.1246;2.1246;None;138
3;None;14;Тим Слейд;None;Holden Commodore ZB;93;1:57'13.0442;3.8029;1.6783;None;129
4;None;17;Скотт Маклафлин;None;Ford Mustang GT;93;1:57'14.5380;5.2967;1.4938;None;120
5;None;2;Скотт Пай;None;Holden Commodore ZB;93;1:57'15.4943;6.2530;0.9563;None;111
6;None;55;Час Мостер;None;Ford Mustang GT;93;1:57'20.9116;11.6703;5.4173;None;102
7;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;93;1:57'27.8818;18.6405;6.9702;None;96
8;None;6;Кэмерон Уотерс;None;Ford Mustang GT;93;1:57'28.5635;19.3222;0.6817;None;90
9;None;8;Ник Перкат;None;Holden Commodore ZB;93;1:57'28.9571;19.7158;0.3936;None;84
10;None;35;Тодд Хазелвуд;None;Holden Commodore ZB;93;1:57'32.9717;23.7304;4.0146;None;78
11;None;22;Джеймс Кортни;None;Holden Commodore ZB;93;1:57'33.8470;24.6057;0.8753;None;72
12;None;7;Андре Хаймгартнер;None;Nissan Altima;93;1:57'41.0241;31.7828;7.1771;None;69
13;None;23;Уилл Дэвисон;None;Ford Mustang GT;93;1:57'45.2187;35.9774;4.1946;None;66
14;None;18;Марк Винтерботтом;None;Holden Commodore ZB;93;1:57'48.0325;38.7912;2.8138;None;63
15;None;33;Ричи Стэнэвей;None;Holden Commodore ZB;93;1:57'50.0550;40.8137;2.0225;None;60
16;None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;93;1:57'52.2118;42.9705;2.1568;None;57
17;None;19;Джек ЛеБрок;None;Holden Commodore ZB;93;1:57'59.8810;50.6397;7.6692;None;54
18;None;78;Симона де Сильвестро;None;Nissan Altima;93;1:58'13.4521;1'04.2108;13.5711;None;51
19;None;15;Рик Келли;None;Nissan Altima;93;1:58'18.9021;1'09.6608;5.4500;None;48
20;None;34;Джеймс Голдинг;None;Holden Commodore ZB;92;1:57'19.6841;1 Lap;1 Lap;None;45
21;None;21;Маколи Джонс;None;Holden Commodore ZB;92;1:58'01.3347;1 Lap;41.6506;None;42
22;None;3;Гарри Джекобсон;None;Nissan Altima;92;1:58'09.2653;1 Lap;7.9306;None;39
23;None;5;Ли Холдсуорт;None;Ford Mustang GT;83;1:57'36.5412;10 Laps;9 Laps;None;36
None;None;99;Антон де Паскуале;None;Holden Commodore ZB;22;26'29.4255;71 Laps;61 Laps;Сход;None
