Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;22;Джеймс Кортни;None;Holden Commodore ZB;15;1'10.8854;None;None;132.044
2;9;Дэвид Рейнольдс;None;Holden Commodore ZB;13;1'10.8873;0.0019;0.0019;132.040
3;2;Скотт Пай;None;Holden Commodore ZB;25;1'10.8886;0.0032;0.0013;132.038
4;6;Кэмерон Уотерс;None;Ford Mustang GT;30;1'10.9418;0.0564;0.0532;131.939
5;17;Скотт Маклафлин;None;Ford Mustang GT;10;1'11.0382;0.1528;0.0964;131.760
6;55;Час Мостер;None;Ford Mustang GT;71;1'11.0440;0.1586;0.0058;131.749
7;88;Джейми Уинкап;None;Holden Commodore ZB;18;1'11.0663;0.1809;0.0223;131.707
8;97;Шейн ван Гисберген;None;Holden Commodore ZB;35;1'11.0723;0.1869;0.0060;131.696
9;12;Фабиан Култхард;None;Ford Mustang GT;37;1'11.1117;0.2263;0.0394;131.623
10;15;Рик Келли;None;Nissan Altima;29;1'11.2173;0.3319;0.1056;131.428
11;21;Маколи Джонс;None;Holden Commodore ZB;62;1'11.2858;0.4004;0.0685;131.302
12;14;Тим Слейд;None;Holden Commodore ZB;31;1'11.3122;0.4268;0.0264;131.253
13;5;Ли Холдсуорт;None;Ford Mustang GT;51;1'11.3211;0.4357;0.0089;131.237
14;18;Марк Винтерботтом;None;Holden Commodore ZB;66;1'11.3832;0.4978;0.0621;131.123
15;7;Андре Хаймгартнер;None;Nissan Altima;54;1'11.4352;0.5498;0.0520;131.027
16;8;Ник Перкат;None;Holden Commodore ZB;17;1'11.4383;0.5529;0.0031;131.022
17;99;Антон де Паскуале;None;Holden Commodore ZB;34;1'11.4536;0.5682;0.0153;130.994
18;33;Ричи Стэнэвей;None;Holden Commodore ZB;34;1'11.4537;0.5683;0.0001;130.993
19;78;Симона де Сильвестро;None;Nissan Altima;43;1'11.4600;0.5746;0.0063;130.982
20;35;Тодд Хазелвуд;None;Holden Commodore ZB;22;1'11.5503;0.6649;0.0903;130.817
21;34;Джеймс Голдинг;None;Holden Commodore ZB;12;1'11.6229;0.7375;0.0726;130.684
22;23;Уилл Дэвисон;None;Ford Mustang GT;66;1'11.6507;0.7653;0.0278;130.633
23;3;Гарри Джекобсон;None;Nissan Altima;36;1'11.7829;0.8975;0.1322;130.393
24;19;Джек ЛеБрок;None;Holden Commodore ZB;1;1'24.0852;13.1998;12.3023;111.315
