Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG X;1'29.5057;178.781
2;1;Джейми Уинкап;None;Holden Commodore ZB;1'30.0523;177.696
3;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'30.1799;177.445
4;888;Крэг Лаундес;None;Holden Commodore ZB;1'30.2002;177.405
5;15;Рик Келли;None;Nissan Altima;1'30.2634;177.281
6;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'30.2979;177.213
7;55;Час Мостер;None;Ford Falcon FG X;1'30.3156;177.178
8;99;Антон де Паскуале;None;Holden Commodore ZB;1'30.3559;177.099
9;6;Кэмерон Уотерс;None;Ford Falcon FG X;1'30.4385;176.937
10;230;Уилл Дэвисон;None;Ford Falcon FG X;1'30.4598;176.896
11;5;Марк Винтерботтом;None;Ford Falcon FG X;1'30.5130;176.792
12;8;Ник Перкат;None;Holden Commodore ZB;1'30.5288;176.761
13;14;Тим Слейд;None;Holden Commodore ZB;1'30.5411;176.737
14;33;Гарт Тандер;None;Holden Commodore ZB;1'30.5849;176.651
15;2;Скотт Пай;None;Holden Commodore ZB;1'30.5859;176.650
16;25;Джеймс Кортни;None;Holden Commodore ZB;1'30.7874;176.257
17;19;Джек ЛеБрок;None;Holden Commodore ZB;1'30.7876;176.257
18;56;Ричи Стэнэвей;None;Ford Falcon FG X;1'30.8276;176.179
19;34;Джеймс Голдинг;None;Holden Commodore ZB;1'30.8359;176.163
20;7;Андре Хаймгартнер;None;Nissan Altima;1'31.0079;175.830
21;18;Ли Холдсуорт;None;Holden Commodore ZB;1'31.0259;175.796
22;35;Тодд Хазелвуд;None;Ford Falcon FG X;1'31.1049;175.643
23;21;Тим Бланкард;None;Holden Commodore ZB;1'31.3402;175.191
24;78;Симона де Сильвестро;None;Nissan Altima;1'31.4633;174.955
25;23;Майкл Карузо;None;Nissan Altima;None;None
26;12;Фабиан Култхард;None;Ford Falcon FG X;None;None
