Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG X;1'29.8526;178.091
2;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'30.2540;177.299
3;12;Фабиан Култхард;None;Ford Falcon FG X;1'30.3903;177.032
4;15;Рик Келли;None;Nissan Altima;1'30.3987;177.015
5;1;Джейми Уинкап;None;Holden Commodore ZB;1'30.4956;176.826
6;23;Майкл Карузо;None;Nissan Altima;1'30.4973;176.822
7;25;Джеймс Кортни;None;Holden Commodore ZB;1'30.5322;176.754
8;99;Антон де Паскуале;None;Holden Commodore ZB;1'30.5847;176.652
9;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'30.6055;176.611
10;5;Марк Винтерботтом;None;Ford Falcon FG X;1'30.6669;176.492
11;55;Час Мостер;None;Ford Falcon FG X;1'30.6693;176.487
12;2;Скотт Пай;None;Holden Commodore ZB;1'30.6884;176.450
13;888;Крэг Лаундес;None;Holden Commodore ZB;1'30.7717;176.288
14;18;Ли Холдсуорт;None;Holden Commodore ZB;1'30.7770;176.278
15;33;Гарт Тандер;None;Holden Commodore ZB;1'30.8241;176.186
16;6;Кэмерон Уотерс;None;Ford Falcon FG X;1'30.8540;176.128
17;14;Тим Слейд;None;Holden Commodore ZB;1'30.8549;176.126
18;34;Джеймс Голдинг;None;Holden Commodore ZB;1'30.9179;176.004
19;78;Симона де Сильвестро;None;Nissan Altima;1'31.0468;175.755
20;7;Андре Хаймгартнер;None;Nissan Altima;1'31.0634;175.723
21;19;Джек ЛеБрок;None;Holden Commodore ZB;1'31.0669;175.716
22;230;Уилл Дэвисон;None;Ford Falcon FG X;1'31.2412;175.381
23;56;Ричи Стэнэвей;None;Ford Falcon FG X;1'31.2453;175.373
24;35;Тодд Хазелвуд;None;Ford Falcon FG X;1'31.5312;174.825
25;21;Тим Бланкард;None;Holden Commodore ZB;1'31.7609;174.388
26;8;Ник Перкат;None;Holden Commodore ZB;1'32.4937;173.006
