Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;4;1'28.5403;None;None;158.775
2;97;Шейн ван Гисберген;None;Holden Commodore ZB;3;1'28.5671;0.0268;0.0268;158.727
3;8;Ник Перкат;None;Holden Commodore ZB;2;1'28.9762;0.4359;0.4091;157.997
4;7;Андре Хаймгартнер;None;Ford Mustang GT;4;1'29.0099;0.4696;0.0337;157.937
5;12;Фабиан Култхард;None;Ford Mustang GT;4;1'29.1797;0.6394;0.1698;157.636
6;25;Час Мостер;None;Holden Commodore ZB;4;1'29.1907;0.6504;0.0110;157.617
7;35;Гарри Джекобсон;None;Holden Commodore ZB;4;1'29.3525;0.8122;0.1618;157.331
8;15;Рик Келли;None;Ford Mustang GT;4;1'29.3803;0.8400;0.0278;157.282
9;6;Кэмерон Уотерс;None;Ford Mustang GT;4;1'29.5805;1.0402;0.2002;156.931
10;18;Марк Винтерботтом;None;Holden Commodore ZB;4;1'29.7150;1.1747;0.1345;156.696
11;20;Скотт Пай;None;Holden Commodore ZB;4;1'29.7460;1.2057;0.0310;156.642
12;55;Джек ЛеБрок;None;Ford Mustang GT;4;1'29.7679;1.2276;0.0219;156.603
13;4;Джек Смит;None;Holden Commodore ZB;2;1'29.7822;1.2419;0.0143;156.578
14;9;Дэвид Рейнольдс;None;Holden Commodore ZB;3;1'29.8779;1.3376;0.0957;156.412
15;44;Джеймс Кортни;None;Ford Mustang GT;4;1'29.9421;1.4018;0.0642;156.300
16;34;Зейн Годдард;None;Holden Commodore ZB;4;1'30.1427;1.6024;0.2006;155.952
17;19;Алекс Дэвисон;None;Holden Commodore ZB;4;1'30.2081;1.6678;0.0654;155.839
18;22;Крис Питер;None;Holden Commodore ZB;4;1'30.2213;1.6810;0.0132;155.816
19;88;Джейми Уинкап;None;Holden Commodore ZB;4;1'30.7876;2.2473;0.5663;154.844
20;5;Ли Холдсуорт;None;Ford Mustang GT;3;1'31.0956;2.5553;0.3080;154.321
21;3;Маколи Джонс;None;Holden Commodore ZB;2;1'31.6129;3.0726;0.5173;153.450
22;99;Антон де Паскуале;None;Holden Commodore ZB;1;1'32.6901;4.1498;1.0772;151.666
23;2;Брайс Фуллвуд;None;Holden Commodore ZB;4;1'33.6885;5.1482;0.9984;150.050
24;14;Тодд Хазелвуд;None;Holden Commodore ZB;2;1'58.2897;29.7494;24.6012;118.843
