Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG-X;1'19.0721;136.584
2;88;Джейми Уинкап;None;Holden Commodore VF;1'19.4213;135.983
3;97;Шейн ван Гисберген;None;Holden Commodore VF;1'19.4446;135.943
4;6;Кэмерон Уотерс;None;Ford Falcon FG-X;1'19.4961;135.855
5;12;Фабиан Култхард;None;Ford Falcon FG-X;1'19.4963;135.855
6;19;Уилл Дэвисон;None;Holden Commodore VF;1'19.5373;135.785
7;18;Ли Холдсуорт;None;Holden Commodore VF;1'19.5801;135.712
8;5;Марк Винтерботтом;None;Ford Falcon FG-X;1'19.6087;135.663
9;14;Тим Слейд;None;Holden Commodore VF;1'19.6123;135.657
10;33;Гарт Тандер;None;Holden Commodore VF;1'19.6296;135.627
11;15;Рик Келли;None;Nissan Altima;1'19.6810;135.540
12;8;Ник Перкат;None;Holden Commodore VF;1'19.6911;135.523
13;9;Дэвид Рейнольдс;None;Holden Commodore VF;1'19.7122;135.487
14;7;Тодд Келли;None;Nissan Altima;1'19.7419;135.436
15;23;Майкл Карузо;None;Nissan Altima;1'19.8003;135.337
16;56;Джейсон Брайт;None;Ford Falcon FG-X;1'19.8375;135.274
17;55;Час Мостер;None;Ford Falcon FG-X;1'19.8671;135.224
18;21;Тим Бланкард;None;Holden Commodore VF;1'19.9367;135.106
19;4;Маколи Джонс;None;Holden Commodore VF;1'19.9396;135.102
20;22;Джеймс Кортни;None;Holden Commodore VF;1'20.0416;134.929
21;26;Shae Davies;None;Nissan Altima;1'20.1168;134.803
22;34;Джеймс Моффат;None;Holden Commodore VF;1'20.0375;134.936
23;31;Джеймс Голдинг;None;Holden Commodore VF;1'20.1461;134.753
24;78;Симона де Сильвестро;None;Nissan Altima;1'20.1572;134.735
25;99;Дейл Вуд;None;Holden Commodore VF;1'20.2289;134.614
26;888;Крэг Лаундес;None;Holden Commodore VF;1'20.2867;134.517
27;3;Таз Дуглас;None;Holden Commodore VF;1'20.4380;134.264
28;2;Скотт Пай;None;Holden Commodore VF;1'20.6058;133.985
29;62;Алекс Рулло;None;Holden Commodore VF;1'20.8317;133.610
