Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG-X;1'19.3807;136.053
2;55;Час Мостер;None;Ford Falcon FG-X;1'19.5447;135.772
3;97;Шейн ван Гисберген;None;Holden Commodore VF;1'19.5747;135.721
4;88;Джейми Уинкап;None;Holden Commodore VF;1'19.6454;135.601
5;12;Фабиан Култхард;None;Ford Falcon FG-X;1'19.7619;135.402
6;8;Ник Перкат;None;Holden Commodore VF;1'19.8698;135.220
7;15;Рик Келли;None;Nissan Altima;1'19.9055;135.159
8;19;Уилл Дэвисон;None;Holden Commodore VF;1'19.9425;135.097
9;5;Марк Винтерботтом;None;Ford Falcon FG-X;1'19.9448;135.093
10;6;Кэмерон Уотерс;None;Ford Falcon FG-X;1'19.9705;135.049
11;7;Тодд Келли;None;Nissan Altima;1'19.9961;135.006
12;18;Ли Холдсуорт;None;Holden Commodore VF;1'20.0261;134.955
13;33;Гарт Тандер;None;Holden Commodore VF;1'20.1508;134.746
14;9;Дэвид Рейнольдс;None;Holden Commodore VF;1'20.1716;134.711
15;14;Тим Слейд;None;Holden Commodore VF;1'20.1864;134.686
16;56;Джейсон Брайт;None;Ford Falcon FG-X;1'20.2024;134.659
17;23;Майкл Карузо;None;Nissan Altima;1'20.2208;134.628
18;31;Джеймс Голдинг;None;Holden Commodore VF;1'20.2867;134.517
19;888;Крэг Лаундес;None;Holden Commodore VF;1'20.2894;134.513
20;4;Маколи Джонс;None;Holden Commodore VF;1'20.2901;134.512
21;2;Скотт Пай;None;Holden Commodore VF;1'20.3439;134.422
22;21;Тим Бланкард;None;Holden Commodore VF;1'20.3995;134.329
23;22;Джеймс Кортни;None;Holden Commodore VF;1'20.4620;134.224
24;34;Джеймс Моффат;None;Holden Commodore VF;1'20.9073;133.486
25;78;Симона де Сильвестро;None;Nissan Altima;1'20.4749;134.203
26;99;Дейл Вуд;None;Holden Commodore VF;1'20.9762;133.372
27;26;Shae Davies;None;Nissan Altima;1'21.0538;133.244
28;3;Таз Дуглас;None;Holden Commodore VF;1'21.1823;133.033
29;62;Алекс Рулло;None;Holden Commodore VF;1'21.4057;132.668
