Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;97;Шейн ван Гисберген;None;Holden Commodore VF;67;1:35'19.8233;None;None;None;150
2;None;88;Джейми Уинкап;None;Holden Commodore VF;67;1:35'21.0850;1.2617;1.2617;None;138
3;None;12;Фабиан Култхард;None;Ford Falcon FG-X;67;1:35'21.5321;1.7088;0.4471;None;129
4;None;6;Кэмерон Уотерс;None;Ford Falcon FG-X;67;1:35'22.7047;2.8814;1.1726;None;120
5;None;17;Скотт Маклафлин;None;Ford Falcon FG-X;67;1:35'26.0677;6.2444;3.3630;None;111
6;None;33;Гарт Тандер;None;Holden Commodore VF;67;1:35'27.7332;7.9099;1.6655;None;102
7;None;9;Дэвид Рейнольдс;None;Holden Commodore VF;67;1:35'30.4769;10.6536;2.7437;None;96
8;None;55;Час Мостер;None;Ford Falcon FG-X;67;1:35'31.1450;11.3217;0.6681;None;90
9;None;19;Уилл Дэвисон;None;Holden Commodore VF;67;1:35'31.5392;11.7159;0.3942;None;84
10;None;18;Ли Холдсуорт;None;Holden Commodore VF;67;1:35'32.6180;12.7947;1.0788;None;78
11;None;14;Тим Слейд;None;Holden Commodore VF;67;1:35'32.9076;13.0843;0.2896;None;72
12;None;8;Ник Перкат;None;Holden Commodore VF;67;1:35'33.1530;13.3297;0.2454;None;69
13;None;5;Марк Винтерботтом;None;Ford Falcon FG-X;67;1:35'34.7631;14.9398;1.6101;None;66
14;None;15;Рик Келли;None;Nissan Altima;67;1:35'39.4570;19.6337;4.6939;None;63
15;None;888;Крэг Лаундес;None;Holden Commodore VF;67;1:35'39.6670;19.8437;0.2100;None;60
16;None;34;Джеймс Моффат;None;Holden Commodore VF;67;1:35'40.3303;20.5070;0.6633;None;57
17;None;7;Тодд Келли;None;Nissan Altima;67;1:35'41.0240;21.2007;0.6937;None;54
18;None;56;Джейсон Брайт;None;Ford Falcon FG-X;67;1:35'41.3680;21.5447;0.3440;None;51
19;None;22;Джеймс Кортни;None;Holden Commodore VF;67;1:35'41.7847;21.9614;0.4167;None;48
20;None;78;Симона де Сильвестро;None;Nissan Altima;67;1:35'44.0372;24.2139;2.2525;None;45
21;None;21;Тим Бланкард;None;Holden Commodore VF;67;1:35'47.3946;27.5713;3.3574;None;42
22;None;2;Скотт Пай;None;Holden Commodore VF;67;1:35'54.5124;34.6891;7.1178;None;4
23;None;4;Маколи Джонс;None;Holden Commodore VF;67;1:35'55.1040;35.2807;0.5916;None;36
24;None;26;Shae Davies;None;Nissan Altima;67;1:35'56.4434;36.6201;1.3394;None;33
25;None;31;Джеймс Голдинг;None;Holden Commodore VF;67;1:35'58.8261;39.0028;2.3827;None;30
26;None;99;Дейл Вуд;None;Holden Commodore VF;67;1:36'10.2782;50.4549;11.4521;None;27
27;None;62;Алекс Рулло;None;Holden Commodore VF;66;1:35'43.1784;1 Lap;1 Lap;None;24
28;None;3;Таз Дуглас;None;Holden Commodore VF;66;1:36'15.1773;1 Lap;31.9989;None;21
None;None;23;Майкл Карузо;None;Nissan Altima;48;1:07'07.9301;19 Laps;18 Laps;Сход;None
