Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;17;Скотт Маклафлин;None;Ford Falcon FG-X;39;46'36.5252;None;None;None;150
2;None;55;Час Мостер;None;Ford Falcon FG-X;39;46'39.7723;3.2471;3.2471;None;138
3;None;97;Шейн ван Гисберген;None;Holden Commodore VF;39;46'41.2258;4.7006;1.4535;None;129
4;None;14;Тим Слейд;None;Holden Commodore VF;39;46'41.6842;5.1590;0.4584;None;120
5;None;888;Крэг Лаундес;None;Holden Commodore VF;39;46'45.6104;9.0852;3.9262;None;111
6;None;12;Фабиан Култхард;None;Ford Falcon FG-X;39;46'46.1050;9.5798;0.4946;None;102
7;None;8;Ник Перкат;None;Holden Commodore VF;39;46'50.9814;14.4562;4.8764;None;96
8;None;15;Рик Келли;None;Nissan Altima;39;46'53.7692;17.2440;2.7878;None;90
9;None;5;Марк Винтерботтом;None;Ford Falcon FG-X;39;46'53.9625;17.4373;0.1933;None;84
10;None;9;Дэвид Рейнольдс;None;Holden Commodore VF;39;46'57.1903;20.6651;3.2278;None;78
11;None;33;Гарт Тандер;None;Holden Commodore VF;39;46'57.7788;21.2536;0.5885;None;72
12;None;18;Ли Холдсуорт;None;Holden Commodore VF;39;46'58.2734;21.7482;0.4946;None;69
13;None;2;Скотт Пай;None;Holden Commodore VF;39;46'59.6019;23.0767;1.3285;None;66
14;None;22;Джеймс Кортни;None;Holden Commodore VF;39;47'01.2752;24.7500;1.6733;None;63
15;None;23;Майкл Карузо;None;Nissan Altima;39;47'03.1628;26.6376;1.8876;None;60
16;None;6;Кэмерон Уотерс;None;Ford Falcon FG-X;39;47'04.0396;27.5144;0.8768;None;57
17;None;19;Уилл Дэвисон;None;Holden Commodore VF;39;47'08.6190;32.0938;4.5794;None;54
18;None;7;Тодд Келли;None;Nissan Altima;39;47'09.6970;33.1718;1.0780;None;51
19;None;28;Джек ЛеБрок;None;Nissan Altima;39;47'15.7229;39.1977;6.0259;None;48
20;None;88;Джейми Уинкап;None;Holden Commodore VF;39;47'16.0718;39.5466;0.3489;None;45
21;None;21;Тим Бланкард;None;Holden Commodore VF;39;47'16.6316;40.1064;0.5598;None;42
22;None;36;Тодд Хазелвуд;None;Holden Commodore VF;39;47'18.2613;41.7361;1.6297;None;39
23;None;99;Дейл Вуд;None;Holden Commodore VF;39;47'19.4571;42.9319;1.1958;None;1
24;None;31;Джеймс Голдинг;None;Holden Commodore VF;39;47'20.6372;44.1120;1.1801;None;33
25;None;26;Shae Davies;None;Nissan Altima;39;47'21.9315;45.4063;1.2943;None;30
26;None;3;Алекс Дэвисон;None;Holden Commodore VF;39;47'25.0253;48.5001;3.0938;None;27
27;None;78;Симона де Сильвестро;None;Nissan Altima;37;47'14.8416;2 Laps;2 Laps;None;24
28;None;34;Джеймс Моффат;None;Holden Commodore VF;31;48'45.1141;8 Laps;6 Laps;None;21
None;None;56;Джейсон Брайт;None;Ford Falcon FG-X;33;39'49.5652;6 Laps;None;Сход;None
None;None;62;Алекс Рулло;None;Holden Commodore VF;0;None;None;None;Сход;None
