Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG-X;1'08.4208;164.160
2;55;Час Мостер;None;Ford Falcon FG-X;1'08.6019;163.727
3;88;Джейми Уинкап;None;Holden Commodore VF;1'08.6410;163.633
4;12;Фабиан Култхард;None;Ford Falcon FG-X;1'08.7315;163.418
5;97;Шейн ван Гисберген;None;Holden Commodore VF;1'08.7732;163.319
6;5;Марк Винтерботтом;None;Ford Falcon FG-X;1'08.9141;162.985
7;888;Крэг Лаундес;None;Holden Commodore VF;1'08.9338;162.938
8;8;Ник Перкат;None;Holden Commodore VF;1'08.9492;162.902
9;56;Джейсон Брайт;None;Ford Falcon FG-X;1'08.9495;162.901
10;6;Кэмерон Уотерс;None;Ford Falcon FG-X;1'08.9539;162.891
11;19;Уилл Дэвисон;None;Holden Commodore VF;1'08.9565;162.885
12;7;Тодд Келли;None;Nissan Altima;1'08.9765;162.838
13;15;Рик Келли;None;Nissan Altima;1'09.0076;162.764
14;22;Джеймс Кортни;None;Holden Commodore VF;1'09.0154;162.746
15;9;Дэвид Рейнольдс;None;Holden Commodore VF;1'09.0581;162.645
16;14;Тим Слейд;None;Holden Commodore VF;1'09.0725;162.611
17;2;Скотт Пай;None;Holden Commodore VF;1'09.1550;162.417
18;33;Гарт Тандер;None;Holden Commodore VF;1'09.2266;162.249
19;21;Тим Бланкард;None;Holden Commodore VF;1'09.3008;162.076
20;36;Тодд Хазелвуд;None;Holden Commodore VF;1'09.3013;162.074
21;18;Ли Холдсуорт;None;Holden Commodore VF;1'09.2946;162.090
22;23;Майкл Карузо;None;Nissan Altima;1'09.3020;162.073
23;31;Джеймс Голдинг;None;Holden Commodore VF;1'09.4174;161.803
24;34;Джеймс Моффат;None;Holden Commodore VF;1'09.5022;161.606
25;26;Shae Davies;None;Nissan Altima;1'09.5745;161.438
26;78;Симона де Сильвестро;None;Nissan Altima;1'09.6317;161.305
27;99;Дейл Вуд;None;Holden Commodore VF;1'09.4021;161.839
28;28;Джек ЛеБрок;None;Nissan Altima;1'09.6397;161.287
29;62;Алекс Рулло;None;Holden Commodore VF;1'10.5077;159.301
30;3;Алекс Дэвисон;None;Holden Commodore VF;1'09.8413;160.821
