Позиция;#;Гонщик;None;Машина;Время;км/ч
1;25;Час Мостер;None;Holden Commodore ZB;1'47.9688;165.047
2;17;Скотт Маклафлин;None;Ford Mustang GT;1'47.9745;165.038
3;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'48.2543;164.612
4;88;Джейми Уинкап;None;Holden Commodore ZB;1'48.4451;164.322
5;12;Фабиан Култхард;None;Ford Mustang GT;1'48.5221;164.206
6;99;Антон де Паскуале;None;Holden Commodore ZB;1'48.5225;164.205
7;55;Джек ЛеБрок;None;Ford Mustang GT;1'48.5382;164.181
8;15;Рик Келли;None;Ford Mustang GT;1'48.5554;164.155
9;5;Ли Холдсуорт;None;Ford Mustang GT;1'48.6934;163.947
10;7;Андре Хаймгартнер;None;Ford Mustang GT;1'48.7437;163.871
11;6;Кэмерон Уотерс;None;Ford Mustang GT;1'48.9573;163.550
12;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'49.2941;163.046
13;2;Брайс Фуллвуд;None;Holden Commodore ZB;1'49.4887;162.756
14;44;Джеймс Кортни;None;Ford Mustang GT;1'49.6391;162.533
15;8;Ник Перкат;None;Holden Commodore ZB;1'49.8715;162.189
16;14;Тодд Хазелвуд;None;Holden Commodore ZB;1'48.6907;163.951
17;20;Скотт Пай;None;Holden Commodore ZB;1'48.7527;163.858
18;18;Марк Винтерботтом;None;Holden Commodore ZB;1'49.0793;163.367
19;19;Алекс Дэвисон;None;Holden Commodore ZB;1'49.1080;163.324
20;4;Джек Смит;None;Holden Commodore ZB;1'50.0183;161.973
21;35;Гарри Джекобсон;None;Holden Commodore ZB;1'48.9240;163.600
22;3;Маколи Джонс;None;Holden Commodore ZB;1'50.7034;160.970
23;22;Крис Питер;None;Holden Commodore ZB;1'51.0848;160.417
24;34;Зейн Годдард;None;Holden Commodore ZB;1'51.3281;160.067
