Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;1'48.0725;164.889
2;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'48.1420;164.783
3;25;Час Мостер;None;Holden Commodore ZB;1'48.2050;164.687
4;12;Фабиан Култхард;None;Ford Mustang GT;1'48.4860;164.260
5;7;Андре Хаймгартнер;None;Ford Mustang GT;1'48.6427;164.023
6;6;Кэмерон Уотерс;None;Ford Mustang GT;1'48.6880;163.955
7;99;Антон де Паскуале;None;Holden Commodore ZB;1'48.6988;163.939
8;15;Рик Келли;None;Ford Mustang GT;1'48.7309;163.890
9;5;Ли Холдсуорт;None;Ford Mustang GT;1'48.7776;163.820
10;8;Ник Перкат;None;Holden Commodore ZB;1'48.7792;163.818
11;88;Джейми Уинкап;None;Holden Commodore ZB;1'48.8074;163.775
12;14;Тодд Хазелвуд;None;Holden Commodore ZB;1'48.8434;163.721
13;3;Маколи Джонс;None;Holden Commodore ZB;1'48.8670;163.685
14;55;Джек ЛеБрок;None;Ford Mustang GT;1'48.8766;163.671
15;18;Марк Винтерботтом;None;Holden Commodore ZB;1'48.9288;163.593
16;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'49.0495;163.412
17;35;Гарри Джекобсон;None;Holden Commodore ZB;1'49.0708;163.380
18;2;Брайс Фуллвуд;None;Holden Commodore ZB;1'49.2300;163.141
19;34;Зейн Годдард;None;Holden Commodore ZB;1'49.2553;163.104
20;20;Скотт Пай;None;Holden Commodore ZB;1'49.2992;163.038
21;22;Крис Питер;None;Holden Commodore ZB;1'49.4590;162.800
22;19;Алекс Дэвисон;None;Holden Commodore ZB;1'49.7069;162.432
23;4;Джек Смит;None;Holden Commodore ZB;1'49.8599;162.206
24;44;Джеймс Кортни;None;Ford Mustang GT;1'53.8467;156.526
