Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;17;Скотт Маклафлин;None;Ford Falcon FG X;25;50'27.3333;None;None;None;100
2;None;1;Джейми Уинкап;None;Holden Commodore ZB;25;50'28.6374;1.3041;1.3041;None;92
3;None;12;Фабиан Култхард;None;Ford Falcon FG X;25;50'29.6473;2.3140;1.0099;None;86
4;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;25;50'38.8834;11.5501;9.2361;None;80
5;None;55;Час Мостер;None;Ford Falcon FG X;25;50'40.4438;13.1105;1.5604;None;74
6;None;2;Скотт Пай;None;Holden Commodore ZB;25;50'41.8704;14.5371;1.4266;None;68
7;None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;25;50'42.7809;15.4476;0.9105;None;64
8;None;33;Гарт Тандер;None;Holden Commodore ZB;25;50'43.8542;16.5209;1.0733;None;60
9;None;8;Ник Перкат;None;Holden Commodore ZB;25;50'45.9270;18.5937;2.0728;None;56
10;None;14;Тим Слейд;None;Holden Commodore ZB;25;50'48.8971;21.5638;2.9701;None;52
11;None;6;Кэмерон Уотерс;None;Ford Falcon FG X;25;50'51.3899;24.0566;2.4928;None;48
12;None;25;Джеймс Кортни;None;Holden Commodore ZB;25;50'54.4978;27.1645;3.1079;None;46
13;None;23;Майкл Карузо;None;Nissan Altima;25;50'56.6437;29.3104;2.1459;None;44
14;None;5;Марк Винтерботтом;None;Ford Falcon FG X;25;50'59.6230;32.2897;2.9793;None;42
15;None;99;Антон де Паскуале;None;Holden Commodore ZB;25;51'00.9139;33.5806;1.2909;None;40
16;None;888;Крэг Лаундес;None;Holden Commodore ZB;25;51'06.4967;39.1634;5.5828;None;38
17;None;15;Рик Келли;None;Nissan Altima;25;51'07.6597;40.3264;1.1630;None;36
18;None;7;Андре Хаймгартнер;None;Nissan Altima;25;51'09.7273;42.3940;2.0676;None;34
19;None;18;Ли Холдсуорт;None;Holden Commodore ZB;25;51'11.8081;44.4748;2.0808;None;32
20;None;19;Джек ЛеБрок;None;Holden Commodore ZB;25;51'12.9713;45.6380;1.1632;None;30
21;None;34;Джеймс Голдинг;None;Holden Commodore ZB;25;51'15.9958;48.6625;3.0245;None;28
22;None;35;Тодд Хазелвуд;None;Ford Falcon FG X;25;51'19.1340;51.8007;3.1382;None;26
23;None;21;Тим Бланкард;None;Holden Commodore ZB;25;51'40.5770;1'13.2437;21.4430;None;24
24;None;56;Ричи Стэнэвей;None;Ford Falcon FG X;25;52'00.9857;1'33.6524;20.4087;None;22
25;None;230;Уилл Дэвисон;None;Ford Falcon FG X;25;52'02.9275;1'35.5942;1.9418;None;20
None;None;78;Симона де Сильвестро;None;Nissan Altima;3;6'14.3296;22 Laps;22 Laps;Сход;None
