Позиция;#;Гонщик;None;Машина;Время;км/ч
1;1;Джейми Уинкап;None;Holden Commodore ZB;1'54.9974;166.010
2;17;Скотт Маклафлин;None;Ford Falcon FG X;1'55.0855;165.883
3;12;Фабиан Култхард;None;Ford Falcon FG X;1'55.3880;165.448
4;6;Кэмерон Уотерс;None;Ford Falcon FG X;1'55.5720;165.185
5;8;Ник Перкат;None;Holden Commodore ZB;1'55.5827;165.170
6;23;Майкл Карузо;None;Nissan Altima;1'55.5920;165.156
7;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'55.5938;165.154
8;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'55.6296;165.103
9;55;Час Мостер;None;Ford Falcon FG X;1'55.6387;165.090
10;5;Марк Винтерботтом;None;Ford Falcon FG X;1'55.8122;164.842
11;14;Тим Слейд;None;Holden Commodore ZB;1'55.8338;164.811
12;15;Рик Келли;None;Nissan Altima;1'55.9128;164.699
13;230;Уилл Дэвисон;None;Ford Falcon FG X;1'56.0022;164.572
14;2;Скотт Пай;None;Holden Commodore ZB;1'56.0092;164.562
15;18;Ли Холдсуорт;None;Holden Commodore ZB;1'56.1056;164.426
16;99;Антон де Паскуале;None;Holden Commodore ZB;1'56.2864;164.170
17;7;Андре Хаймгартнер;None;Nissan Altima;1'56.2886;164.167
18;21;Тим Бланкард;None;Holden Commodore ZB;1'56.4050;164.003
19;19;Джек ЛеБрок;None;Holden Commodore ZB;1'56.5009;163.868
20;78;Симона де Сильвестро;None;Nissan Altima;1'56.7025;163.585
21;35;Тодд Хазелвуд;None;Ford Falcon FG X;1'56.7122;163.571
22;25;Джеймс Кортни;None;Holden Commodore ZB;1'56.9111;163.293
23;33;Гарт Тандер;None;Holden Commodore ZB;1'56.9992;163.170
24;34;Джеймс Голдинг;None;Holden Commodore ZB;1'56.4381;163.956
25;56;Ричи Стэнэвей;None;Ford Falcon FG X;1'57.0642;163.079
26;888;Крэг Лаундес;None;Holden Commodore ZB;1'57.0811;163.056
