Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG X;1'55.1576;165.779
2;8;Ник Перкат;None;Holden Commodore ZB;1'55.3121;165.557
3;2;Скотт Пай;None;Holden Commodore ZB;1'55.4181;165.405
4;1;Джейми Уинкап;None;Holden Commodore ZB;1'55.5744;165.181
5;14;Тим Слейд;None;Holden Commodore ZB;1'55.5841;165.168
6;55;Час Мостер;None;Ford Falcon FG X;1'55.6534;165.069
7;12;Фабиан Култхард;None;Ford Falcon FG X;1'55.7604;164.916
8;23;Майкл Карузо;None;Nissan Altima;1'55.7936;164.869
9;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'55.8202;164.831
10;888;Крэг Лаундес;None;Holden Commodore ZB;1'55.8516;164.786
11;25;Джеймс Кортни;None;Holden Commodore ZB;1'55.9946;164.583
12;5;Марк Винтерботтом;None;Ford Falcon FG X;1'56.0122;164.558
13;99;Антон де Паскуале;None;Holden Commodore ZB;1'56.0816;164.460
14;33;Гарт Тандер;None;Holden Commodore ZB;1'56.1326;164.387
15;7;Андре Хаймгартнер;None;Nissan Altima;1'56.1449;164.370
16;15;Рик Келли;None;Nissan Altima;1'56.1778;164.323
17;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'56.3884;164.026
18;78;Симона де Сильвестро;None;Nissan Altima;1'56.5177;163.844
19;230;Уилл Дэвисон;None;Ford Falcon FG X;1'56.6207;163.699
20;34;Джеймс Голдинг;None;Holden Commodore ZB;1'56.6627;163.640
21;21;Тим Бланкард;None;Holden Commodore ZB;1'56.6871;163.606
22;6;Кэмерон Уотерс;None;Ford Falcon FG X;1'56.8657;163.356
23;19;Джек ЛеБрок;None;Holden Commodore ZB;1'56.9542;163.233
24;18;Ли Холдсуорт;None;Holden Commodore ZB;1'57.0785;163.059
25;56;Ричи Стэнэвей;None;Ford Falcon FG X;1'57.1634;162.941
26;35;Тодд Хазелвуд;None;Ford Falcon FG X;1'57.3529;162.678
