Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG-X;1'29.0621;179.672
2;12;Фабиан Култхард;None;Ford Falcon FG-X;1'29.3462;179.101
3;88;Джейми Уинкап;None;Holden Commodore VF;1'29.4060;178.981
4;5;Марк Винтерботтом;None;Ford Falcon FG-X;1'29.6765;178.441
5;6;Кэмерон Уотерс;None;Ford Falcon FG-X;1'29.7032;178.388
6;55;Час Мостер;None;Ford Falcon FG-X;1'29.7236;178.347
7;888;Крэг Лаундес;None;Holden Commodore VF;1'29.8470;178.102
8;97;Шейн ван Гисберген;None;Holden Commodore VF;1'29.9305;177.937
9;23;Майкл Карузо;None;Nissan Altima;1'29.9915;177.816
10;15;Рик Келли;None;Nissan Altima;1'30.0638;177.674
11;9;Дэвид Рейнольдс;None;Holden Commodore VF;1'30.0663;177.669
12;14;Тим Слейд;None;Holden Commodore VF;1'30.0694;177.663
13;22;Джеймс Кортни;None;Holden Commodore VF;1'30.1206;177.562
14;56;Джейсон Брайт;None;Ford Falcon FG-X;1'30.1857;177.433
15;18;Ли Холдсуорт;None;Holden Commodore VF;1'30.2988;177.211
16;7;Тодд Келли;None;Nissan Altima;1'30.3133;177.183
17;19;Уилл Дэвисон;None;Holden Commodore VF;1'30.3958;177.021
18;2;Скотт Пай;None;Holden Commodore VF;1'30.4078;176.998
19;8;Ник Перкат;None;Holden Commodore VF;1'30.4605;176.894
20;33;Гарт Тандер;None;Holden Commodore VF;1'30.5572;176.705
21;78;Симона де Сильвестро;None;Nissan Altima;1'30.6349;176.554
22;99;Дейл Вуд;None;Holden Commodore VF;1'30.6834;176.460
23;34;Джеймс Моффат;None;Holden Commodore VF;1'30.7036;176.420
24;21;Тим Бланкард;None;Holden Commodore VF;1'30.9313;175.979
25;62;Алекс Рулло;None;Holden Commodore VF;1'31.2149;175.431
26;3;Таз Дуглас;None;Holden Commodore VF;1'31.3978;175.080
