Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG-X;1'29.3632;179.066
2;12;Фабиан Култхард;None;Ford Falcon FG-X;1'29.4820;178.829
3;97;Шейн ван Гисберген;None;Holden Commodore VF;1'29.6445;178.505
4;5;Марк Винтерботтом;None;Ford Falcon FG-X;1'29.7708;178.253
5;55;Час Мостер;None;Ford Falcon FG-X;1'29.8323;178.131
6;88;Джейми Уинкап;None;Holden Commodore VF;1'29.8524;178.092
7;6;Кэмерон Уотерс;None;Ford Falcon FG-X;1'30.0147;177.770
8;9;Дэвид Рейнольдс;None;Holden Commodore VF;1'30.1000;177.602
9;22;Джеймс Кортни;None;Holden Commodore VF;1'30.1139;177.575
10;14;Тим Слейд;None;Holden Commodore VF;1'30.1432;177.517
11;15;Рик Келли;None;Nissan Altima;1'30.2552;177.297
12;18;Ли Холдсуорт;None;Holden Commodore VF;1'30.3193;177.171
13;2;Скотт Пай;None;Holden Commodore VF;1'30.3893;177.034
14;7;Тодд Келли;None;Nissan Altima;1'30.3913;177.030
15;888;Крэг Лаундес;None;Holden Commodore VF;1'30.4005;177.012
16;34;Джеймс Моффат;None;Holden Commodore VF;1'30.4268;176.960
17;19;Уилл Дэвисон;None;Holden Commodore VF;1'30.4962;176.825
18;23;Майкл Карузо;None;Nissan Altima;1'30.5271;176.764
19;8;Ник Перкат;None;Holden Commodore VF;1'30.5400;176.739
20;33;Гарт Тандер;None;Holden Commodore VF;1'30.5516;176.716
21;56;Джейсон Брайт;None;Ford Falcon FG-X;1'30.5728;176.675
22;99;Дейл Вуд;None;Holden Commodore VF;1'30.5878;176.646
23;78;Симона де Сильвестро;None;Nissan Altima;1'30.8237;176.187
24;21;Тим Бланкард;None;Holden Commodore VF;1'31.0498;175.749
25;62;Алекс Рулло;None;Holden Commodore VF;1'31.8221;174.271
26;3;Таз Дуглас;None;Holden Commodore VF;1'32.1311;173.687
