Номер;Гонщик;None;Команда;Машина;Мотор;Шины
2;Ник Перкат Уоррен Лафф;None;Mobil 1™ Optus Racing & Mobil 1™ NTI Racing;Holden Commodore ZB;Holden V8-5;Dunlop
3;Тим Слейд Тим Бланкард;None;Brad Jones Racing;Ford Mustang GT;Ford V8-5;Dunlop
4;Джек Смит Джексон Эванс;None;SCT Logistics & TRG Transport Solutions;Holden Commodore ZB;Holden V8-5;Dunlop
5;Джеймс Кортни Зейн Годдард;None;Monster Energy Racing & Snowy River Caravans;Ford Mustang GT;Ford V8-5;Dunlop
6;Кэмерон Уотерс Джеймс Моффат;None;Monster Energy Racing & Snowy River Caravans;Ford Mustang GT;Ford V8-5;Dunlop
8;Андре Хаймгартнер Дейл Вуд;None;Brad Jones Racing;Holden Commodore ZB;Holden V8-5;Dunlop
9;Уилл Браун Джек Перкинс;None;Boost Mobile Racing by Erebus;Holden Commodore ZB;Holden V8-5;Dunlop
10;Ли Холдсуорт Matthew Payne;None;Penrite Racing;Ford Mustang GT;Ford V8-5;Dunlop
14;Брайс Фуллвуд Дин Фьоре;None;Brad Jones Racing;Holden Commodore ZB;Holden V8-5;Dunlop
17;Уилл Дэвисон Алекс Дэвисон;None;DJR Team Penske;Ford Mustang GT;Ford V8-5;Dunlop
18;Марк Винтерботтом Майкл Карузо;None;IRWIN Racing & Toyota Forklifts Racing;Holden Commodore ZB;Holden V8-5;Dunlop
20;Скотт Пай Tyler Everingham;None;IRWIN Racing & Toyota Forklifts Racing;Holden Commodore ZB;Holden V8-5;Dunlop
22;Крис Питер Cameron Hill;None;Coca-Cola Racing & Subway PremiAir Racing;Holden Commodore ZB;Holden V8-5;Dunlop
25;Час Мостер Фабиан Култхард;None;Mobil 1™ Optus Racing & Mobil 1™ NTI Racing;Holden Commodore ZB;Holden V8-5;Dunlop
26;Дэвид Рейнольдс Мэтт Кэмпбелл;None;Penrite Racing;Ford Mustang GT;Ford V8-5;Dunlop
31;Джеймс Голдинг Dylan O'Keeffe;None;Coca-Cola Racing & Subway PremiAir Racing;Holden Commodore ZB;Holden V8-5;Dunlop
34;Джек ЛеБрок Аарон Сетон;None;Truck Assist Racing;Holden Commodore ZB;Holden V8-5;Dunlop
35;Тодд Хазелвуд Jayden Ojeda;None;Truck Assist Racing;Holden Commodore ZB;Holden V8-5;Dunlop
51;Ричи Стэнэвей Грег Мерфи;None;Boost Mobile Racing by Erebus;Holden Commodore ZB;Holden V8-5;Dunlop
55;Томас Рэндл Zak Best;None;Castrol Racing & Tradie Racing;Ford Mustang GT;Ford V8-5;Dunlop
56;Джейк Костеки Курт Костеки;None;Castrol Racing & Tradie Racing;Ford Mustang GT;Ford V8-5;Dunlop
88;Broc Feeney Джейми Уинкап;None;Red Bull Ampol Racing;Holden Commodore ZB;Holden V8-5;Dunlop
96;Маколи Джонс Jordan Boys;None;SCT Logistics & TRG Transport Solutions;Holden Commodore ZB;Holden V8-5;Dunlop
97;Шейн ван Гисберген Гарт Тандер;None;Red Bull Ampol Racing;Holden Commodore ZB;Holden V8-5;Dunlop
99;Brodie Kostecki Дэвид Расселл;None;Boost Mobile Racing by Erebus;Holden Commodore ZB;Holden V8-5;Dunlop
100;Антон де Паскуале Тони Д'Альберто;None;Dick Johnson Racing;Ford Mustang GT;Ford V8-5;Dunlop
118;Мэтт Чагда Jaylyn Robotham;None;Caltex Young Stars;Holden Commodore ZB;Holden V8-5;Dunlop
888;Крэг Лаундес Declan Fraser;None;Tickford Racing;Holden Commodore ZB;Holden V8-5;Dunlop
