Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;25;Час Мостер Фабиан Култхард;None;Holden Commodore ZB;16;2'05.5105;None;None;178.206
2;97;Шейн ван Гисберген Гарт Тандер;None;Holden Commodore ZB;16;2'05.6137;0.1032;0.1032;178.060
3;17;Уилл Дэвисон Алекс Дэвисон;None;Ford Mustang GT;20;2'05.6305;0.1200;0.0168;178.036
4;6;Кэмерон Уотерс Джеймс Моффат;None;Ford Mustang GT;17;2'05.9821;0.4716;0.3516;177.539
5;26;Дэвид Рейнольдс Мэтт Кэмпбелл;None;Ford Mustang GT;17;2'06.0179;0.5074;0.0358;177.489
6;100;Антон де Паскуале Тони Д'Альберто;None;Ford Mustang GT;22;2'06.0324;0.5219;0.0145;177.468
7;99;Brodie Kostecki Дэвид Расселл;None;Holden Commodore ZB;18;2'06.2106;0.7001;0.1782;177.218
8;18;Марк Винтерботтом Майкл Карузо;None;Holden Commodore ZB;18;2'06.2106;0.7001;0.0000;177.218
9;10;Ли Холдсуорт Matthew Payne;None;Ford Mustang GT;20;2'06.3342;0.8237;0.1236;177.044
10;20;Скотт Пай Tyler Everingham;None;Holden Commodore ZB;19;2'06.3477;0.8372;0.0135;177.025
11;8;Андре Хаймгартнер Дейл Вуд;None;Holden Commodore ZB;24;2'06.3737;0.8632;0.0260;176.989
12;5;Джеймс Кортни Зейн Годдард;None;Ford Mustang GT;20;2'06.5292;1.0187;0.1555;176.771
13;51;Ричи Стэнэвей Грег Мерфи;None;Holden Commodore ZB;19;2'06.6016;1.0911;0.0724;176.670
14;9;Уилл Браун Джек Перкинс;None;Holden Commodore ZB;16;2'06.6643;1.1538;0.0627;176.583
15;31;Джеймс Голдинг Dylan O'Keeffe;None;Holden Commodore ZB;22;2'06.8406;1.3301;0.1763;176.337
16;88;Broc Feeney Джейми Уинкап;None;Holden Commodore ZB;20;2'06.8456;1.3351;0.0050;176.330
17;14;Брайс Фуллвуд Дин Фьоре;None;Holden Commodore ZB;25;2'06.9435;1.4330;0.0979;176.194
18;35;Тодд Хазелвуд Jayden Ojeda;None;Holden Commodore ZB;21;2'07.0420;1.5315;0.0985;176.058
19;2;Ник Перкат Уоррен Лафф;None;Holden Commodore ZB;17;2'07.0438;1.5333;0.0018;176.055
20;22;Крис Питер Cameron Hill;None;Holden Commodore ZB;23;2'07.1388;1.6283;0.0950;175.924
21;96;Маколи Джонс Jordan Boys;None;Holden Commodore ZB;23;2'07.1641;1.6536;0.0253;175.889
22;55;Томас Рэндл Zak Best;None;Ford Mustang GT;25;2'07.5682;2.0577;0.4041;175.332
23;888;Крэг Лаундес Declan Fraser;None;Holden Commodore ZB;23;2'07.5797;2.0692;0.0115;175.316
24;56;Джейк Костеки Курт Костеки;None;Ford Mustang GT;24;2'07.7394;2.2289;0.1597;175.097
25;4;Джек Смит Джексон Эванс;None;Holden Commodore ZB;25;2'07.8430;2.3325;0.1036;174.955
26;118;Мэтт Чагда Jaylyn Robotham;None;Holden Commodore ZB;21;2'08.1829;2.6724;0.3399;174.491
