Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;1'47.4959;165.773
2;23;Уилл Дэвисон;None;Ford Mustang GT;1'47.7105;165.443
3;55;Час Мостер;None;Ford Mustang GT;1'47.8427;165.240
4;88;Джейми Уинкап;None;Holden Commodore ZB;1'47.9947;165.008
5;6;Кэмерон Уотерс;None;Ford Mustang GT;1'48.0042;164.993
6;8;Ник Перкат;None;Holden Commodore ZB;1'48.0143;164.978
7;99;Антон де Паскуале;None;Holden Commodore ZB;1'48.1887;164.712
8;5;Ли Холдсуорт;None;Ford Mustang GT;1'48.2030;164.690
9;18;Марк Винтерботтом;None;Holden Commodore ZB;1'48.2238;164.658
10;14;Тим Слейд;None;Holden Commodore ZB;1'48.7996;163.787
11;12;Фабиан Култхард;None;Ford Mustang GT;1'48.5303;164.193
12;7;Андре Хаймгартнер;None;Nissan Altima;1'48.5908;164.102
13;22;Джеймс Кортни;None;Holden Commodore ZB;1'48.8412;163.724
14;78;Симона де Сильвестро;None;Nissan Altima;1'48.9721;163.528
15;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'49.0629;163.391
16;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'49.5133;162.719
17;3;Гарри Джекобсон;None;Nissan Altima;1'48.8704;163.680
18;15;Рик Келли;None;Nissan Altima;1'48.8801;163.666
19;34;Джеймс Голдинг;None;Holden Commodore ZB;1'48.9873;163.505
20;2;Скотт Пай;None;Holden Commodore ZB;1'49.0589;163.397
21;66;Томас Рэндл;None;Ford Mustang GT;1'49.0711;163.379
22;35;Тодд Хазелвуд;None;Holden Commodore ZB;1'49.3625;162.944
23;4;Джек Смит;None;Holden Commodore ZB;1'49.4952;162.746
24;19;Джек ЛеБрок;None;Holden Commodore ZB;1'49.5306;162.694
25;33;Ричи Стэнэвей;None;Holden Commodore ZB;1'49.5531;162.660
26;21;Маколи Джонс;None;Holden Commodore ZB;1'49.6414;162.529
