Позиция;#;Гонщик;None;Машина;Время;км/ч
1;888;Джейми Уинкап Крэг Лаундес;None;Holden Commodore ZB;None;None
2;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;None;None
3;97;Шейн ван Гисберген Гарт Тандер;None;Holden Commodore ZB;None;None
4;7;Андре Хаймгартнер Брайс Фуллвуд;None;Nissan Altima;None;None
5;5;Ли Холдсуорт Томас Рэндл;None;Ford Mustang GT;None;None
6;17;Скотт Маклафлин Александр Према;None;Ford Mustang GT;None;None
7;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore ZB;None;None
8;6;Кэмерон Уотерс Майкл Карузо;None;Ford Mustang GT;None;None
9;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;None;None
10;23;Уилл Дэвисон Алекс Дэвисон;None;Ford Mustang GT;None;None
11;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;None;None
12;18;Марк Винтерботтом Стив Ричардс;None;Holden Commodore ZB;None;None
13;12;Фабиан Култхард Тони Д'Альберто;None;Ford Mustang GT;None;None
14;15;Рик Келли Дейл Вуд;None;Nissan Altima;None;None
15;3;Гарри Джекобсон Дин Фьоре;None;Nissan Altima;None;None
16;8;Ник Перкат Тим Бланкард;None;Holden Commodore ZB;None;None
17;33;Ричи Стэнэвей Крис Питер;None;Holden Commodore ZB;None;None
18;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;None;None
19;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;None;None
20;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;None;None
21;56;Brodie Kostecki Джейк Костеки;None;Holden Commodore ZB;None;None
22;21;Маколи Джонс Дин Кэнто;None;Holden Commodore ZB;None;None
23;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;None;None
24;35;Тодд Хазелвуд Джек Смит;None;Holden Commodore ZB;None;None
25;55;Час Мостер Джеймс Моффат;None;Ford Mustang GT;None;None
