Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин Александр Према;None;Ford Mustang GT;18;1'07.5425;None;None;165.229
2;888;Джейми Уинкап Крэг Лаундес;None;Holden Commodore ZB;15;1'07.5442;0.0017;0.0017;165.225
3;6;Кэмерон Уотерс Майкл Карузо;None;Ford Mustang GT;19;1'07.6031;0.0606;0.0589;165.081
4;5;Ли Холдсуорт Томас Рэндл;None;Ford Mustang GT;19;1'07.6330;0.0905;0.0299;165.008
5;12;Фабиан Култхард Тони Д'Альберто;None;Ford Mustang GT;17;1'07.7213;0.1788;0.0883;164.793
6;7;Андре Хаймгартнер Брайс Фуллвуд;None;Nissan Altima;18;1'07.7604;0.2179;0.0391;164.697
7;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore ZB;18;1'07.8031;0.2606;0.0427;164.594
8;23;Уилл Дэвисон Алекс Дэвисон;None;Ford Mustang GT;17;1'07.9353;0.3928;0.1322;164.273
9;55;Час Мостер Джеймс Моффат;None;Ford Mustang GT;17;1'07.9530;0.4105;0.0177;164.231
10;18;Марк Винтерботтом Стив Ричардс;None;Holden Commodore ZB;19;1'08.0040;0.4615;0.0510;164.107
11;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;15;1'08.0238;0.4813;0.0198;164.060
12;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;15;1'08.0430;0.5005;0.0192;164.013
13;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;16;1'08.0888;0.5463;0.0458;163.903
14;15;Рик Келли Дейл Вуд;None;Nissan Altima;16;1'08.1076;0.5651;0.0188;163.858
15;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;16;1'08.1126;0.5701;0.0050;163.846
16;33;Ричи Стэнэвей Крис Питер;None;Holden Commodore ZB;17;1'08.1467;0.6042;0.0341;163.764
17;3;Гарри Джекобсон Дин Фьоре;None;Nissan Altima;18;1'08.1490;0.6065;0.0023;163.758
18;97;Шейн ван Гисберген Гарт Тандер;None;Holden Commodore ZB;17;1'08.2247;0.6822;0.0757;163.577
19;8;Ник Перкат Тим Бланкард;None;Holden Commodore ZB;16;1'08.2283;0.6858;0.0036;163.568
20;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;17;1'08.2424;0.6999;0.0141;163.534
21;35;Тодд Хазелвуд Джек Смит;None;Holden Commodore ZB;17;1'08.2559;0.7134;0.0135;163.502
22;56;Brodie Kostecki Джейк Костеки;None;Holden Commodore ZB;14;1'08.5160;0.9735;0.2601;162.881
23;21;Маколи Джонс Дин Кэнто;None;Holden Commodore ZB;13;1'08.5455;1.0030;0.0295;162.811
24;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;15;1'08.5502;1.0077;0.0047;162.800
25;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;16;1'08.7923;1.2498;0.2421;162.227
