Круги лидирования;Гонщик
1 - 19;Гарт Тандер
20 - 23;Шейн ван Гисберген
24 - 24;Тодд Келли
25 - 25;Крэг Лаундес
26 - 26;Кэмерон Уотерс
27 - 39;Джеймс Кортни
40 - 73;Шейн ван Гисберген
