Позиция;#;Гонщик;None;Машина;Время;км/ч
1;97;Шейн ван Гисберген;None;Holden Commodore VF;1'26.6272;142.126
2;88;Джейми Уинкап;None;Holden Commodore VF;1'26.7306;141.956
3;33;Скотт Маклафлин;None;Volvo S60;1'26.8455;141.769
4;888;Крэг Лаундес;None;Holden Commodore VF;1'27.0335;141.462
5;2;Гарт Тандер;None;Holden Commodore VF;1'27.0533;141.430
6;22;Джеймс Кортни;None;Holden Commodore VF;1'27.1503;141.273
7;1;Марк Винтерботтом;None;Ford Falcon FG/X;1'27.2013;141.190
8;55;Час Мостер;None;Ford Falcon FG/X;1'27.2601;141.095
9;15;Рик Келли;None;Nissan Altima L33;1'27.2744;141.072
10;6;Кэмерон Уотерс;None;Ford Falcon FG/X;1'27.4261;140.827
11;12;Фабиан Култхард;None;Ford Falcon FG/X;1'27.4485;140.791
12;19;Уилл Дэвисон;None;Holden Commodore VF;1'27.5255;140.667
13;222;Ник Перкат;None;Holden Commodore VF;1'27.5639;140.605
14;34;Джеймс Моффат;None;Volvo S60;1'27.5771;140.584
15;23;Майкл Карузо;None;Nissan Altima L33;1'27.5785;140.582
16;14;Тим Слейд;None;Holden Commodore VF;1'27.6221;140.512
17;8;Джейсон Брайт;None;Holden Commodore VF;1'27.6815;140.417
18;17;Скотт Пай;None;Ford Falcon FG/X;1'27.6988;140.389
19;7;Тодд Келли;None;Nissan Altima L33;1'27.7208;140.354
20;111;Крис Питер;None;Ford Falcon FG/X;1'27.9182;140.039
21;96;Дейл Вуд;None;Nissan Altima L33;1'28.3054;139.425
22;18;Ли Холдсуорт;None;Holden Commodore VF;1'28.3317;139.383
23;3;Андре Хаймгартнер;None;Holden Commodore VF;1'28.3659;139.329
24;21;Тим Бланкард;None;Holden Commodore VF;1'28.4541;139.190
25;4;Shae Davies;None;Holden Commodore VF;1'28.7687;138.697
26;9;Дэвид Рейнольдс;None;Holden Commodore VF;None;None
