Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;1'08.5133;163.938
2;55;Час Мостер;None;Ford Mustang GT;1'08.6195;163.685
3;88;Джейми Уинкап;None;Holden Commodore ZB;1'08.7632;163.343
4;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'08.8097;163.232
5;23;Уилл Дэвисон;None;Ford Mustang GT;1'08.9400;162.924
6;6;Кэмерон Уотерс;None;Ford Mustang GT;1'08.9422;162.919
7;7;Андре Хаймгартнер;None;Nissan Altima;1'09.1349;162.464
8;8;Ник Перкат;None;Holden Commodore ZB;1'09.1649;162.394
9;35;Тодд Хазелвуд;None;Holden Commodore ZB;1'09.2086;162.291
10;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'09.2342;162.231
11;12;Фабиан Култхард;None;Ford Mustang GT;1'09.0900;162.570
12;5;Ли Холдсуорт;None;Ford Mustang GT;1'09.1696;162.383
13;99;Антон де Паскуале;None;Holden Commodore ZB;1'09.1834;162.351
14;15;Рик Келли;None;Nissan Altima;1'09.3402;161.983
15;34;Джеймс Голдинг;None;Holden Commodore ZB;1'09.2915;162.097
16;2;Скотт Пай;None;Holden Commodore ZB;1'09.4526;161.721
17;18;Марк Винтерботтом;None;Holden Commodore ZB;1'09.4852;161.645
18;22;Джеймс Кортни;None;Holden Commodore ZB;1'09.5016;161.607
19;78;Симона де Сильвестро;None;Nissan Altima;1'09.5580;161.476
20;14;Тим Слейд;None;Holden Commodore ZB;1'09.5715;161.445
21;33;Майкл Карузо;None;Holden Commodore ZB;1'09.8036;160.908
22;3;Гарри Джекобсон;None;Nissan Altima;1'09.8083;160.897
23;19;Джек ЛеБрок;None;Holden Commodore ZB;1'09.8831;160.725
24;21;Маколи Джонс;None;Holden Commodore ZB;5'06.8030;36.609
