Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;1'08.6369;163.643
2;88;Джейми Уинкап;None;Holden Commodore ZB;1'08.7480;163.379
3;23;Уилл Дэвисон;None;Ford Mustang GT;1'08.7513;163.371
4;5;Ли Холдсуорт;None;Ford Mustang GT;1'08.9368;162.931
5;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'08.9586;162.880
6;55;Час Мостер;None;Ford Mustang GT;1'08.9686;162.856
7;99;Антон де Паскуале;None;Holden Commodore ZB;1'09.0124;162.753
8;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'09.0172;162.742
9;12;Фабиан Култхард;None;Ford Mustang GT;1'09.1667;162.390
10;6;Кэмерон Уотерс;None;Ford Mustang GT;1'09.1812;162.356
11;8;Ник Перкат;None;Holden Commodore ZB;1'09.2465;162.203
12;35;Тодд Хазелвуд;None;Holden Commodore ZB;1'09.3280;162.012
13;14;Тим Слейд;None;Holden Commodore ZB;1'09.4075;161.826
14;2;Скотт Пай;None;Holden Commodore ZB;1'09.4829;161.651
15;7;Андре Хаймгартнер;None;Nissan Altima;1'09.3670;161.921
16;18;Марк Винтерботтом;None;Holden Commodore ZB;1'09.3925;161.861
17;78;Симона де Сильвестро;None;Nissan Altima;1'09.4319;161.770
18;22;Джеймс Кортни;None;Holden Commodore ZB;1'09.4869;161.641
19;3;Гарри Джекобсон;None;Nissan Altima;1'09.5039;161.602
20;34;Джеймс Голдинг;None;Holden Commodore ZB;1'09.5115;161.584
21;15;Рик Келли;None;Nissan Altima;1'09.5982;161.383
22;33;Майкл Карузо;None;Holden Commodore ZB;1'09.6237;161.324
23;21;Маколи Джонс;None;Holden Commodore ZB;1'09.6921;161.166
24;19;Джек ЛеБрок;None;Holden Commodore ZB;1'09.8080;160.898
