Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;10;1'08.5133;None;None;163.938
2;55;Час Мостер;None;Ford Mustang GT;12;1'08.6195;0.1062;0.1062;163.685
3;88;Джейми Уинкап;None;Holden Commodore ZB;9;1'08.7632;0.2499;0.1437;163.343
4;97;Шейн ван Гисберген;None;Holden Commodore ZB;8;1'08.8097;0.2964;0.0465;163.232
5;23;Уилл Дэвисон;None;Ford Mustang GT;9;1'08.9400;0.4267;0.1303;162.924
6;6;Кэмерон Уотерс;None;Ford Mustang GT;9;1'08.9422;0.4289;0.0022;162.919
7;7;Андре Хаймгартнер;None;Nissan Altima;11;1'09.1349;0.6216;0.1927;162.464
8;8;Ник Перкат;None;Holden Commodore ZB;12;1'09.1649;0.6516;0.0300;162.394
9;35;Тодд Хазелвуд;None;Holden Commodore ZB;11;1'09.2086;0.6953;0.0437;162.291
10;9;Дэвид Рейнольдс;None;Holden Commodore ZB;15;1'09.2342;0.7209;0.0256;162.231
