Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;5;1'08.6815;None;None;163.537
2;88;Джейми Уинкап;None;Holden Commodore ZB;5;1'08.7588;0.0773;0.0773;163.353
3;23;Уилл Дэвисон;None;Ford Mustang GT;5;1'08.8320;0.1505;0.0732;163.179
4;12;Фабиан Култхард;None;Ford Mustang GT;5;1'09.0042;0.3227;0.1722;162.772
5;97;Шейн ван Гисберген;None;Holden Commodore ZB;6;1'09.0382;0.3567;0.0340;162.692
6;55;Час Мостер;None;Ford Mustang GT;5;1'09.0491;0.3676;0.0109;162.666
7;9;Дэвид Рейнольдс;None;Holden Commodore ZB;5;1'09.0537;0.3722;0.0046;162.656
8;5;Ли Холдсуорт;None;Ford Mustang GT;5;1'09.1478;0.4663;0.0941;162.434
9;99;Антон де Паскуале;None;Holden Commodore ZB;6;1'09.2005;0.5190;0.0527;162.310
10;6;Кэмерон Уотерс;None;Ford Mustang GT;10;1'09.2062;0.5247;0.0057;162.297
11;8;Ник Перкат;None;Holden Commodore ZB;9;1'09.2465;0.5650;0.0403;162.203
12;35;Тодд Хазелвуд;None;Holden Commodore ZB;5;1'09.3280;0.6465;0.0815;162.012
13;14;Тим Слейд;None;Holden Commodore ZB;11;1'09.4075;0.7260;0.0795;161.826
14;2;Скотт Пай;None;Holden Commodore ZB;8;1'09.4829;0.8014;0.0754;161.651
