Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;9;Дэвид Рейнольдс;None;Holden Commodore ZB;4;1'09.0767;None;None;162.601
2;8;Ник Перкат;None;Holden Commodore ZB;4;1'09.0820;0.0053;0.0053;162.589
3;12;Фабиан Култхард;None;Ford Mustang GT;4;1'09.1107;0.0340;0.0287;162.521
4;35;Тодд Хазелвуд;None;Holden Commodore ZB;4;1'09.1853;0.1086;0.0746;162.346
5;34;Джеймс Голдинг;None;Holden Commodore ZB;5;1'09.2915;0.2148;0.1062;162.097
6;2;Скотт Пай;None;Holden Commodore ZB;5;1'09.4526;0.3759;0.1611;161.721
7;18;Марк Винтерботтом;None;Holden Commodore ZB;5;1'09.4852;0.4085;0.0326;161.645
8;22;Джеймс Кортни;None;Holden Commodore ZB;5;1'09.5016;0.4249;0.0164;161.607
9;78;Симона де Сильвестро;None;Nissan Altima;4;1'09.5580;0.4813;0.0564;161.476
10;14;Тим Слейд;None;Holden Commodore ZB;4;1'09.5715;0.4948;0.0135;161.445
11;33;Майкл Карузо;None;Holden Commodore ZB;4;1'09.8036;0.7269;0.2321;160.908
12;3;Гарри Джекобсон;None;Nissan Altima;5;1'09.8083;0.7316;0.0047;160.897
13;19;Джек ЛеБрок;None;Holden Commodore ZB;4;1'09.8831;0.8064;0.0748;160.725
14;21;Маколи Джонс;None;Holden Commodore ZB;4;5'06.8030;3'57.7263;3'56.9199;36.609
