Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;12;Фабиан Култхард;None;Ford Falcon FG-X;76;1:23'36.5118;None;None;None;150
2;None;17;Скотт Маклафлин;None;Ford Falcon FG-X;76;1:23'37.2024;0.6906;0.6906;None;138
3;None;88;Джейми Уинкап;None;Holden Commodore VF;76;1:23'37.6543;1.1425;0.4519;None;129
4;None;888;Крэг Лаундес;None;Holden Commodore VF;76;1:23'38.0522;1.5404;0.3979;None;120
5;None;9;Дэвид Рейнольдс;None;Holden Commodore VF;76;1:23'38.6916;2.1798;0.6394;None;111
6;None;6;Кэмерон Уотерс;None;Ford Falcon FG-X;76;1:23'39.3856;2.8738;0.6940;None;102
7;None;55;Час Мостер;None;Ford Falcon FG-X;76;1:23'39.7454;3.2336;0.3598;None;96
8;None;14;Тим Слейд;None;Holden Commodore VF;76;1:23'41.0680;4.5562;1.3226;None;90
9;None;97;Шейн ван Гисберген;None;Holden Commodore VF;76;1:23'41.3203;4.8085;0.2523;None;84
10;None;33;Гарт Тандер;None;Holden Commodore VF;76;1:23'41.8222;5.3104;0.5019;None;78
11;None;8;Ник Перкат;None;Holden Commodore VF;76;1:23'42.0246;5.5128;0.2024;None;72
12;None;2;Скотт Пай;None;Holden Commodore VF;76;1:23'42.5605;6.0487;0.5359;None;69
13;None;5;Марк Винтерботтом;None;Ford Falcon FG-X;76;1:23'43.1166;6.6048;0.5561;None;66
14;None;99;Дейл Вуд;None;Holden Commodore VF;76;1:23'44.0569;7.5451;0.9403;None;63
15;None;78;Симона де Сильвестро;None;Nissan Altima;76;1:23'44.4366;7.9248;0.3797;None;60
16;None;23;Майкл Карузо;None;Nissan Altima;75;1:23'45.7974;1 Lap;1 Lap;None;57
17;None;18;Ли Холдсуорт;None;Holden Commodore VF;73;1:23'46.5555;3 Laps;2 Laps;None;54
18;None;7;Тодд Келли;None;Nissan Altima;72;1:24'35.2830;4 Laps;1 Lap;None;51
19;None;34;Джеймс Моффат;None;Holden Commodore VF;70;1:24'12.7332;6 Laps;2 Laps;None;48
None;None;62;Алекс Рулло;None;Holden Commodore VF;62;1:09'26.6126;14 Laps;8 Laps;Сход;None
None;None;21;Тим Бланкард;None;Holden Commodore VF;41;43'07.7190;35 Laps;21 Laps;Сход;None
None;None;56;Джейсон Брайт;None;Ford Falcon FG-X;3;3'18.2163;73 Laps;38 Laps;Сход;None
