Позиция;#;Гонщик;None;Машина;Время;км/ч
1;88;Джейми Уинкап;None;Holden Commodore VF;58.3971;148.569
2;17;Скотт Маклафлин;None;Ford Falcon FG-X;58.6678;147.883
3;55;Час Мостер;None;Ford Falcon FG-X;58.7079;147.782
4;14;Тим Слейд;None;Holden Commodore VF;58.8794;147.352
5;97;Шейн ван Гисберген;None;Holden Commodore VF;58.9093;147.277
6;12;Фабиан Култхард;None;Ford Falcon FG-X;59.1030;146.794
7;7;Тодд Келли;None;Nissan Altima;59.1156;146.763
8;888;Крэг Лаундес;None;Holden Commodore VF;59.1516;146.673
9;9;Дэвид Рейнольдс;None;Holden Commodore VF;59.1881;146.583
10;6;Кэмерон Уотерс;None;Ford Falcon FG-X;59.1974;146.560
11;18;Ли Холдсуорт;None;Holden Commodore VF;59.2207;146.502
12;5;Марк Винтерботтом;None;Ford Falcon FG-X;59.2281;146.484
13;23;Майкл Карузо;None;Nissan Altima;59.2682;146.385
14;33;Гарт Тандер;None;Holden Commodore VF;59.4243;146.000
15;2;Скотт Пай;None;Holden Commodore VF;59.4861;145.849
16;8;Ник Перкат;None;Holden Commodore VF;59.5786;145.622
17;56;Джейсон Брайт;None;Ford Falcon FG-X;59.6093;145.547
18;99;Дейл Вуд;None;Holden Commodore VF;59.6364;145.481
19;34;Джеймс Моффат;None;Holden Commodore VF;59.7258;145.263
20;78;Симона де Сильвестро;None;Nissan Altima;59.9941;144.614
21;21;Тим Бланкард;None;Holden Commodore VF;1'00.2586;143.979
22;62;Алекс Рулло;None;Holden Commodore VF;43.8091;198.041
