Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;12;Фабиан Култхард;None;Ford Falcon FG-X;42;52'28.2817;None;None;None;150
2;None;17;Скотт Маклафлин;None;Ford Falcon FG-X;42;52'28.6592;0.3775;0.3775;None;138
3;None;8;Ник Перкат;None;Holden Commodore VF;42;52'29.6271;1.3454;0.9679;None;129
4;None;88;Джейми Уинкап;None;Holden Commodore VF;42;52'30.0507;1.7690;0.4236;None;120
5;None;55;Час Мостер;None;Ford Falcon FG-X;42;52'30.6006;2.3189;0.5499;None;111
6;None;6;Кэмерон Уотерс;None;Ford Falcon FG-X;42;52'32.4742;4.1925;1.8736;None;102
7;None;888;Крэг Лаундес;None;Holden Commodore VF;42;52'37.0588;8.7771;4.5846;None;96
8;None;9;Дэвид Рейнольдс;None;Holden Commodore VF;42;52'37.6309;9.3492;0.5721;None;90
9;None;34;Джеймс Моффат;None;Holden Commodore VF;42;52'38.1997;9.9180;0.5688;None;84
10;None;18;Ли Холдсуорт;None;Holden Commodore VF;42;52'38.9259;10.6442;0.7262;None;78
11;None;14;Тим Слейд;None;Holden Commodore VF;42;52'39.3225;11.0408;0.3966;None;72
12;None;21;Тим Бланкард;None;Holden Commodore VF;42;52'39.6896;11.4079;0.3671;None;69
13;None;19;Уилл Дэвисон;None;Holden Commodore VF;42;52'40.0099;11.7282;0.3203;None;66
14;None;5;Марк Винтерботтом;None;Ford Falcon FG-X;42;52'43.6313;15.3496;3.6214;None;63
15;None;56;Джейсон Брайт;None;Ford Falcon FG-X;42;52'44.7698;16.4881;1.1385;None;60
16;None;23;Майкл Карузо;None;Nissan Altima;42;52'45.1963;16.9146;0.4265;None;57
17;None;3;Кэмерон Макконвиль;None;Holden Commodore VF;42;52'46.0954;17.8137;0.8991;None;54
18;None;7;Тодд Келли;None;Nissan Altima;42;52'46.7017;18.4200;0.6063;None;51
19;None;28;Джек ЛеБрок;None;Nissan Altima;42;52'53.4135;25.1318;6.7118;None;48
20;None;78;Симона де Сильвестро;None;Nissan Altima;42;52'57.8694;29.5877;4.4559;None;45
21;None;22;Джеймс Кортни;None;Holden Commodore VF;42;53'16.9922;48.7105;19.1228;None;42
22;None;2;Скотт Пай;None;Holden Commodore VF;42;53'26.8128;58.5311;9.8206;None;39
23;None;62;Алекс Рулло;None;Holden Commodore VF;42;53'28.7636;1'00.4819;1.9508;None;36
24;None;4;Маколи Джонс;None;Holden Commodore VF;41;52'57.5779;1 Lap;1 Lap;None;33
25;None;99;Дейл Вуд;None;Holden Commodore VF;41;53'15.0117;1 Lap;17.4338;None;30
26;None;33;Гарт Тандер;None;Holden Commodore VF;41;53'22.6302;1 Lap;7.6185;None;27
None;None;97;Шейн ван Гисберген;None;Holden Commodore VF;38;48'08.6212;4 Laps;3 Laps;Сход;None
None;None;15;Рик Келли;None;Nissan Altima;16;18'52.9712;26 Laps;22 Laps;Сход;None
