Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG-X;15;1'05.5635;None;None;157.587
2;9;Дэвид Рейнольдс;None;Holden Commodore VF;21;1'05.7413;0.1778;0.1778;157.161
3;23;Майкл Карузо;None;Nissan Altima;22;1'05.8097;0.2462;0.0684;156.998
4;888;Крэг Лаундес;None;Holden Commodore VF;20;1'05.8108;0.2473;0.0011;156.995
5;12;Фабиан Култхард;None;Ford Falcon FG-X;20;1'05.8319;0.2684;0.0211;156.945
6;88;Джейми Уинкап;None;Holden Commodore VF;19;1'05.9647;0.4012;0.1328;156.629
7;15;Рик Келли;None;Nissan Altima;19;1'05.9948;0.4313;0.0301;156.557
8;14;Тим Слейд;None;Holden Commodore VF;24;1'05.9953;0.4318;0.0005;156.556
9;97;Шейн ван Гисберген;None;Holden Commodore VF;22;1'06.0647;0.5012;0.0694;156.392
10;34;Джеймс Моффат;None;Holden Commodore VF;23;1'06.0713;0.5078;0.0066;156.376
11;55;Час Мостер;None;Ford Falcon FG-X;19;1'06.1008;0.5373;0.0295;156.306
12;22;Джеймс Кортни;None;Holden Commodore VF;16;1'06.1150;0.5515;0.0142;156.273
13;21;Тим Бланкард;None;Holden Commodore VF;17;1'06.1355;0.5720;0.0205;156.224
14;6;Кэмерон Уотерс;None;Ford Falcon FG-X;19;1'06.1394;0.5759;0.0039;156.215
15;33;Гарт Тандер;None;Holden Commodore VF;23;1'06.2251;0.6616;0.0857;156.013
16;7;Тодд Келли;None;Nissan Altima;18;1'06.2424;0.6789;0.0173;155.972
17;18;Ли Холдсуорт;None;Holden Commodore VF;23;1'06.2616;0.6981;0.0192;155.927
18;8;Ник Перкат;None;Holden Commodore VF;21;1'06.2861;0.7226;0.0245;155.869
19;2;Скотт Пай;None;Holden Commodore VF;23;1'06.3863;0.8228;0.1002;155.634
20;5;Марк Винтерботтом;None;Ford Falcon FG-X;21;1'06.3901;0.8266;0.0038;155.625
21;56;Джейсон Брайт;None;Ford Falcon FG-X;21;1'06.4000;0.8365;0.0099;155.602
22;4;Маколи Джонс;None;Holden Commodore VF;26;1'06.4548;0.8913;0.0548;155.474
23;28;Джек ЛеБрок;None;Nissan Altima;21;1'06.5724;1.0089;0.1176;155.199
24;62;Алекс Рулло;None;Holden Commodore VF;21;1'06.6094;1.0459;0.0370;155.113
25;78;Симона де Сильвестро;None;Nissan Altima;21;1'06.6206;1.0571;0.0112;155.087
26;19;Уилл Дэвисон;None;Holden Commodore VF;4;1'06.7426;1.1791;0.1220;154.803
27;99;Дейл Вуд;None;Holden Commodore VF;19;1'06.7671;1.2036;0.0245;154.746
28;3;Кэмерон Макконвиль;None;Holden Commodore VF;16;1'06.8875;1.3240;0.1204;154.468
