Позиция;#;Гонщик;None;Машина;Время;км/ч
1;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'18.3270;142.479
2;88;Джейми Уинкап;None;Holden Commodore ZB;1'18.5665;142.045
3;25;Час Мостер;None;Holden Commodore ZB;1'18.8071;141.611
4;6;Кэмерон Уотерс;None;Ford Mustang GT;1'18.9939;141.276
5;7;Андре Хаймгартнер;None;Ford Mustang GT;1'19.1109;141.067
6;44;Джеймс Кортни;None;Ford Mustang GT;1'19.1448;141.007
7;17;Уилл Дэвисон;None;Ford Mustang GT;1'19.2647;140.794
8;11;Антон де Паскуале;None;Ford Mustang GT;1'19.2839;140.759
9;26;Дэвид Рейнольдс;None;Ford Mustang GT;1'19.4163;140.525
10;8;Ник Перкат;None;Holden Commodore ZB;1'19.4375;140.487
11;18;Марк Винтерботтом;None;Holden Commodore ZB;1'19.4439;140.476
12;3;Тим Слейд;None;Ford Mustang GT;1'19.4529;140.460
13;20;Скотт Пай;None;Holden Commodore ZB;1'19.7178;139.993
14;2;Брайс Фуллвуд;None;Holden Commodore ZB;1'19.7371;139.959
15;14;Тодд Хазелвуд;None;Holden Commodore ZB;1'19.7587;139.922
16;5;Джек ЛеБрок;None;Ford Mustang GT;1'19.7871;139.872
17;9;Уилл Браун;None;Holden Commodore ZB;1'20.0045;139.492
18;4;Джек Смит;None;Holden Commodore ZB;1'20.0293;139.448
19;19;Фабиан Култхард;None;Holden Commodore ZB;1'20.1339;139.266
20;22;Гарри Джекобсон;None;Holden Commodore ZB;1'20.4812;138.665
21;96;Маколи Джонс;None;Holden Commodore ZB;1'20.6302;138.409
22;35;Зейн Годдард;None;Holden Commodore ZB;1'20.8418;138.047
23;99;Brodie Kostecki;None;Holden Commodore ZB;1'20.8419;138.047
24;34;Джейк Костеки;None;Holden Commodore ZB;None;None
