Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;36;50'27.7042;None;None;None;100
2;None;6;Кэмерон Уотерс;None;Ford Mustang GT;36;50'40.4929;12.7887;12.7887;None;92
3;None;88;Джейми Уинкап;None;Holden Commodore ZB;36;50'40.7145;13.0103;0.2216;None;91
4;None;25;Час Мостер;None;Holden Commodore ZB;36;50'41.3904;13.6862;0.6759;None;80
5;None;7;Андре Хаймгартнер;None;Ford Mustang GT;36;50'42.0473;14.3431;0.6569;None;74
6;None;8;Ник Перкат;None;Holden Commodore ZB;36;50'42.9283;15.2241;0.8810;None;68
7;None;44;Джеймс Кортни;None;Ford Mustang GT;36;50'51.2357;23.5315;8.3074;None;64
8;None;20;Скотт Пай;None;Holden Commodore ZB;36;50'57.0689;29.3647;5.8332;None;60
9;None;3;Тим Слейд;None;Ford Mustang GT;36;50'57.7627;30.0585;0.6938;None;56
10;None;17;Уилл Дэвисон;None;Ford Mustang GT;36;50'58.0752;30.3710;0.3125;None;52
11;None;18;Марк Винтерботтом;None;Holden Commodore ZB;36;51'01.4340;33.7298;3.3588;None;48
12;None;5;Джек ЛеБрок;None;Ford Mustang GT;36;51'05.2375;37.5333;3.8035;None;46
13;None;99;Brodie Kostecki;None;Holden Commodore ZB;36;51'06.5812;38.8770;1.3437;None;44
14;None;14;Тодд Хазелвуд;None;Holden Commodore ZB;36;51'07.5952;39.8910;1.0140;None;42
15;None;2;Брайс Фуллвуд;None;Holden Commodore ZB;36;51'09.1970;41.4928;1.6018;None;40
16;None;9;Уилл Браун;None;Holden Commodore ZB;36;51'10.2667;42.5625;1.0697;None;38
17;None;19;Фабиан Култхард;None;Holden Commodore ZB;36;51'13.2062;45.5020;2.9395;None;36
18;None;34;Джейк Костеки;None;Holden Commodore ZB;36;51'19.6730;51.9688;6.4668;None;34
19;None;35;Зейн Годдард;None;Holden Commodore ZB;36;51'33.0064;1'05.3022;13.3334;None;32
20;None;22;Гарри Джекобсон;None;Holden Commodore ZB;35;50'30.9909;1 Lap;1 Lap;None;30
21;None;4;Джек Смит;None;Holden Commodore ZB;35;50'32.4456;1 Lap;1.4547;None;28
22;None;26;Дэвид Рейнольдс;None;Ford Mustang GT;32;50'50.9124;4 Laps;3 Laps;None;26
None;None;11;Антон де Паскуале;None;Ford Mustang GT;25;38'27.1390;11 Laps;7 Laps;Сход;None
None;None;96;Маколи Джонс;None;Holden Commodore ZB;2;2'56.5388;34 Laps;23 Laps;Сход;None
