Позиция;#;Гонщик;None;Машина;Время;км/ч
1;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'18.0065;143.065
2;88;Джейми Уинкап;None;Holden Commodore ZB;1'18.3631;142.413
3;17;Уилл Дэвисон;None;Ford Mustang GT;1'18.4101;142.328
4;26;Дэвид Рейнольдс;None;Ford Mustang GT;1'18.5488;142.077
5;7;Андре Хаймгартнер;None;Ford Mustang GT;1'18.7168;141.774
6;18;Марк Винтерботтом;None;Holden Commodore ZB;1'18.7527;141.709
7;99;Brodie Kostecki;None;Holden Commodore ZB;1'18.8355;141.560
8;11;Антон де Паскуале;None;Ford Mustang GT;1'18.8625;141.512
9;25;Час Мостер;None;Holden Commodore ZB;1'18.9124;141.422
10;6;Кэмерон Уотерс;None;Ford Mustang GT;1'18.9770;141.306
11;20;Скотт Пай;None;Holden Commodore ZB;1'19.1730;140.957
12;19;Фабиан Култхард;None;Holden Commodore ZB;1'19.2455;140.828
13;8;Ник Перкат;None;Holden Commodore ZB;1'19.2857;140.756
14;96;Маколи Джонс;None;Holden Commodore ZB;1'19.3807;140.588
15;44;Джеймс Кортни;None;Ford Mustang GT;1'19.3860;140.578
16;14;Тодд Хазелвуд;None;Holden Commodore ZB;1'19.4008;140.552
17;34;Джейк Костеки;None;Holden Commodore ZB;1'19.4550;140.456
18;3;Тим Слейд;None;Ford Mustang GT;1'19.5053;140.368
19;9;Уилл Браун;None;Holden Commodore ZB;1'19.5532;140.283
20;2;Брайс Фуллвуд;None;Holden Commodore ZB;1'19.6709;140.076
21;22;Гарри Джекобсон;None;Holden Commodore ZB;1'19.9024;139.670
22;5;Джек ЛеБрок;None;Ford Mustang GT;1'20.0521;139.409
23;4;Джек Смит;None;Holden Commodore ZB;1'20.2752;139.021
24;35;Зейн Годдард;None;Holden Commodore ZB;1'20.5826;138.491
