Позиция;#;Гонщик;None;Машина;Время;км/ч
1;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'10.5470;132.677
2;17;Скотт Маклафлин;None;Ford Falcon FG X;1'10.5676;132.638
3;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'10.7770;132.246
4;33;Гарт Тандер;None;Holden Commodore ZB;1'10.8562;132.098
5;18;Ли Холдсуорт;None;Holden Commodore ZB;1'10.8696;132.073
6;25;Джеймс Кортни;None;Holden Commodore ZB;1'10.9358;131.950
7;1;Джейми Уинкап;None;Holden Commodore ZB;1'10.9897;131.850
8;14;Тим Слейд;None;Holden Commodore ZB;1'11.0330;131.769
9;7;Андре Хаймгартнер;None;Nissan Altima;1'11.2823;131.308
10;12;Фабиан Култхард;None;Ford Falcon FG X;1'11.3670;131.153
11;100;Кэмерон Уотерс;None;Ford Falcon FG X;1'10.6900;132.409
12;888;Крэг Лаундес;None;Holden Commodore ZB;1'10.6981;132.393
13;8;Ник Перкат;None;Holden Commodore ZB;1'10.7540;132.289
14;55;Час Мостер;None;Ford Falcon FG X;1'10.8292;132.148
15;99;Антон де Паскуале;None;Holden Commodore ZB;1'10.8640;132.083
16;15;Рик Келли;None;Nissan Altima;1'10.8956;132.025
17;230;Уилл Дэвисон;None;Ford Falcon FG X;1'10.9552;131.914
18;5;Марк Винтерботтом;None;Ford Falcon FG X;1'10.9859;131.857
19;21;Тим Бланкард;None;Holden Commodore ZB;1'11.0310;131.773
20;19;Джек ЛеБрок;None;Holden Commodore ZB;1'11.0869;131.669
21;34;Джеймс Голдинг;None;Holden Commodore ZB;1'11.0966;131.651
22;78;Симона де Сильвестро;None;Nissan Altima;1'11.1031;131.639
23;2;Скотт Пай;None;Holden Commodore ZB;1'11.1260;131.597
24;23;Майкл Карузо;None;Nissan Altima;1'11.1757;131.505
25;35;Тодд Хазелвуд;None;Ford Falcon FG X;1'11.3005;131.275
26;56;Ричи Стэнэвей;None;Ford Falcon FG X;1'11.4702;130.963
